,location,recording_date_time,species_code,Year_since_logging,mean_amp,SM2
13429,H23-CC-163,2023-06-12 07:33:00,WTSP,7,-49.760000000000005,0
13430,H23-CC-163,2023-06-12 07:33:00,WTSP,7,-48.46,0
13431,H23-CC-163,2023-06-12 07:33:00,WTSP,7,-49.345,0
13432,H23-CC-163,2023-06-12 07:33:00,WTSP,7,-49.325,0
13433,H23-CC-163,2023-06-12 07:48:00,WTSP,7,-51.34,0
13434,H23-CC-163,2023-06-12 07:48:00,WTSP,7,-40.64,0
13435,H23-CC-163,2023-06-12 08:03:00,WTSP,7,-51.29,0
13436,H23-CC-163,2023-06-13 08:03:00,WTSP,7,-41.92,0
13437,H23-CC-163,2023-06-13 08:03:00,WTSP,7,-46.475,0
13438,H23-CC-163,2023-06-16 07:03:00,WTSP,7,-47.005,0
13439,H23-CC-163,2023-06-16 07:03:00,WTSP,7,-51.575,0
13440,H23-CC-163,2023-06-16 07:33:00,WTSP,7,-32.54,0
13441,H23-CC-163,2023-06-16 07:48:00,WTSP,7,-43.615,0
13442,H23-CC-163,2023-06-16 07:48:00,WTSP,7,-38.115,0
13443,H23-CC-163,2023-06-16 07:48:00,WTSP,7,-40.760000000000005,0
13444,H23-CC-163,2023-06-18 07:03:00,WTSP,7,-45.305,0
13445,H23-CC-166,2023-06-19 07:18:00,WTSP,20,-51.08,0
13446,H23-CC-166,2023-06-19 08:18:00,WTSP,20,-45.045,0
13447,H23-CC-166,2023-06-22 05:18:00,WTSP,20,-54.275,0
13448,H23-CC-166,2023-06-22 05:18:00,WTSP,20,-49.77,0
13449,H23-CC-166,2023-06-22 05:18:00,WTSP,20,-49.36,0
13450,H23-CC-166,2023-06-22 05:48:00,WTSP,20,-50.485,0
