location,recording_date_time
H-RS-3-23,2021-06-23 6:20
H-CC-30-24,2021-06-23 6:40
H-CC-30-9,2021-06-23 6:40
H-RS-22-34,2021-06-23 6:40
H-RS-22-45,2021-06-23 6:40
H-RS-3-3,2021-06-23 6:40
H-RS-5-55,2021-06-23 6:40
H-CC-22-33,2021-06-23 7:00
H-RS-22-30,2021-06-23 7:00
H-RS-22-45,2021-06-23 7:00
H-RS-22-47,2021-06-23 7:00
H-RS-3-1,2021-06-23 7:00
H-CC-30-24,2021-06-23 7:20
H-CC-30-9,2021-06-23 7:20
H-RS-22-30,2021-06-23 7:20
H-RS-22-32,2021-06-23 7:20
H-RS-22-36,2021-06-23 7:20
H-RS-22-38,2021-06-23 7:20
H-RS-22-45,2021-06-23 7:20
H-RS-22-46,2021-06-23 7:20
H-RS-22-47,2021-06-23 7:20
H-CC-30-24,2021-06-23 7:40
H-CC-30-9,2021-06-23 7:40
H-RS-22-38,2021-06-23 7:40
H-RS-3-23,2021-06-23 7:40
H-CC-30-9,2021-06-23 8:00
H-RS-22-38,2021-06-23 8:00
H-RS-5-55,2021-06-23 8:00
H-CC-22-35,2021-06-23 8:20
H-CC-30-24,2021-06-23 8:20
H-RS-22-30,2021-06-23 8:20
H-RS-3-21,2021-06-23 8:20
H-RS-5-55,2021-06-23 8:20
H-CC-22-33,2021-06-23 8:40
H-CC-22-35,2021-06-23 8:40
H-CC-30-9,2021-06-23 8:40
H-RS-22-34,2021-06-23 8:40
H-RS-22-46,2021-06-23 8:40
H-CC-22-35,2021-06-23 9:00
H-CC-30-9,2021-06-23 9:00
H-RS-22-34,2021-06-23 9:00
H-RS-22-36,2021-06-23 9:00
H-RS-22-45,2021-06-23 9:00
H-RS-3-3,2021-06-23 9:00
H-CC-30-9,2021-06-23 9:20
H-RS-3-21,2021-06-24 5:20
H-RS-5-60,2021-06-24 5:20
H-RS-22-32,2021-06-24 5:40
H-RS-22-36,2021-06-24 5:40
H-RS-22-38,2021-06-24 5:40
H-RS-22-32,2021-06-24 6:00
H-RS-22-46,2021-06-24 6:00
H-CC-22-35,2021-06-24 6:20
H-RS-22-36,2021-06-24 6:20
H-CC-22-33,2021-06-24 6:40
H-RS-22-32,2021-06-24 6:40
H-CC-22-35,2021-06-24 7:00
H-RS-22-30,2021-06-24 7:00
H-RS-22-38,2021-06-24 7:00
H-CC-22-35,2021-06-24 7:20
H-RS-22-38,2021-06-24 7:20
H-RS-3-21,2021-06-24 7:20
H-CC-22-33,2021-06-24 7:40
H-CC-30-9,2021-06-24 7:40
H-RS-22-30,2021-06-24 7:40
H-RS-22-38,2021-06-24 7:40
H-CC-22-33,2021-06-24 8:00
H-CC-22-35,2021-06-24 8:00
H-CC-30-9,2021-06-24 8:00
H-RS-22-36,2021-06-24 8:00
